,text,score
0,"배달의민족 주문시 리뷰를 자주 참고하는 편입니다. 한가지 건의사항이 있다면 최신순,별점순 뿐만아니라 제가 주문하고자하는 메뉴를 특정해서 그 메뉴의 리뷰만 확인할 수 있는 기능이 있으면 좋을 것 같습니다. 메뉴검색 기능처럼 리뷰에서도 특정 메뉴 검색기능이 필요합니다. 주문수가 많지않은 메뉴의 리뷰를 보기 위해서 드래그하느라 시간이 많이 소요되는 비효율이 발생합니다. 긍정적으로 검토해주심 좋을 것 같습니다.",4
1,내가 주문했던 과거목록에서도 검색기능이 있었으면 좋겠어요.. 분명 이 가게에 시킨 기억은 있는데 뭘시켰고 맛있게 먹은게 맞는지 알고싶은데 찾기가 너무 어렵네요.. 먹던 메뉴도 검색가능했으면 좋겠어요! 예를 들면 곱창 을 치면 과거에 시킨 곱창목록이 뜨거나 혹은 가게 리뷰창에 내리뷰보기 가 있어도 좋을거같아요 :),5
2,"검색 화면에서 전체/배달/포장 탭 중 배달 탭을 스크롤 내리면서 볼 때, 아래로 스크롤하는데 자꾸만 왼쪽 오른쪽으로 넘어가서 전체 탭이나 포장 탭을 보게 되는데 정말 불편합니다. 검색 후 배달 탭, 포장 탭, B마트 탭 뭐든 하나를 선택했으면 좌우로 넘기는 건 안 되게 하시면 안되나요? 가끔 그러는 것도 아니고 스크롤 한 번 내릴 때마다 왼쪽으로 넘어가서 전체 탭에 가게 되니까 너무 불편하고 답답해서 씁니다",1
3,배달팁 낮은 순으로 정렬하면 0~4000원 이런식으로 된 가게가 가장 위로 올라옵니다. 그리고 지역에 따라 추가 배달료가 있다고 별도로 체크하게 되어있어서 결국 배달팁은 5000원이 넘습니다. 10만원 이상 시키면 배달팁 0원이라는데 장난하는 것도 아니고.... 결국 하나하나 눌러가면서 가격대별 금액을 체크하고 배달팁 별도로 받는지도 확인해야합니다.,2
4,최근 업데이트가 안드로이드5사양 정도에서는 안되는것 같습니다.. 배민 어플 실행시 업데이트 하라고 나오고 업데이트 누르면 업데이트 진행은 안되고 열기 나오고 열기 누르면 업데이트 나오고 무한반복.. 수없이 삭제와 재설치 환경설정등을 해보아도 같은 증상이네요.. 다른분들도 다 같은 증상으로 보이는 글들을 보니 이번 업데이트 관련 파일 확인이 필요해 보입니다 참고로 사양 높은 폰에서는 잘되는거 보니 핸드폰 사양 문제가 이번 업데이트에 있어 보입니다,3
5,"찜매장 구분 좀 해주세요! 대체 언제쯤이면 개선될까요?? 독점이라 해이한건가요? 유명한 앱 치고 결제 관련 부분도 정말 별로고, 앱 구성이 정말 단순합니다. 배민페이 사용절차가 힘들어 안쓰고 있구요. 다른것보다도 찜해놓은 매장들 한식, 양식, 중식, 카페.. 업종별로라도 구분 좀 시켜주세요. ㄱㄴㄷ순으로도 안되어 있고... 찜매장이 한두개도 아닌데, 이름을 전부 외울수도 없고... 매번 찾기가 어려워서 재검색하거나 주문했던 목록에서 찾고 들어갑니다.",2
6,"앱 실행시에 로그인 여부를 먼저 물어보고 비회원 이용을 선택할 경우, 혹은 나중에 입력 선택 후 주문 결제 시 받을 주소를 설정하는 것으로 순서를 변경하면 어떨까요? 저는 필요할 때만 어플을 설치해서 삭제, 설치를 자주 하는 편인데요! 다시 사용하려고 재설치하고 실행하면 회원정보에 주소 저장을 해놨음에도 어플 실행하면 로그인 여부 안 물어보고 주소를 다시 설정해야해서 불편해요 ㅜ.. 처음에 주소를 설정해도 주문할 때 어차피 로그인할 건데 시간이 매번 추가로 드네요 저같이 어플을 사용하는 사람이 많지는 않겠지만 혹시 굳이 주문도 하지 않은 상태에서 주소부터 설정하는 이유가 따로 있을까요? 수정하기 어려운 사항이라면 제가 그냥 어플을 삭제하지 않고 사용하겠지만 순서를 바꾸는 정도라면 어렵지 않을 거 같고 사용자로서 굳이 주소부터 설정할 필요가 없을 거 같아서 의견 남겨봅니다! 어떨까요!",5
7,"음식배달 후 시간이 지나면 리뷰를 요청하는 알림이 상단에 뜹니다. 리뷰를 적기위해 그 알림을 누르면 앱이 들어가지는게 아니라 그냥 아무것도 실행되지 않습니다. 예전부터 이랬는데 버그 좀 고쳐주세요. 답변들은 후 추가 내용---->그...알림이 핸드폰으로 옵니다. 알림을 꺼놓은게 아니라 당연히 켜놓았구요. 알림이 오는데, 그 알림을 터치하면 당연히 앱이 구동되어야 하잖아요? 그런데 앱이 실행이 안되고 그냥 알림창만 없어집니다. 리뷰를 작성하라나는 그 알림만 그래요. 다른 알림은 그 알림을 터치하면 정상적으로 앱이 실행되는데, 리뷰 알림만 안들어가져요.",3
8,"식사 한번에 최소 15000원 이상 주문, 거기에 배달료 3000기본이면 누가 시킵니까.. 배민의 수수료 장사가 도를 넘었습니다. 가게에서 수수료를 그렇게 땡겨가니 배달 음식 자체의 값과 배달팁이 그렇게 책정될 수 밖에요.. 그리고 같은 가게만 수십번 떠서 보기 싫은 가게를 자꾸 보게 되네요. 이런 점좀 개선하세요.",1
9,안 먹고 싶은 곳이나 먹고 난 후 만족하지 못한 곳을 차단할 수 있는 옵션이 생기면 좋을 거 같아요. 자주 먹었던 곳을 추천해주는 건 좋은데 너무 자주 먹게 되서 차단을 잠시라도 해놓고 싶기도 하고 자주 먹어도 어쩔땐 불만족스러울 때가 있어서 차단옵션이 생겼으면 해요 다음 업데이트에는 생겼으면 ㅎㅎ,3
10,안녕하세요! 배민 잘 이용하는 사용자입니다. 한 가지 건의사항이 있는데요. 받아들여지지는 않겠지만 리뷰에 별점 대신 재방문 수를 표시하면 어떨까 싶기도 하여 이렇게 달아봅니다! 아니면 별점 옆에 재방문 수를 표시해도 좋을 것 같다 생각합니다. 혹시 건의사항을 따로 쓰는 곳이 있다면 그곳에 다시 쓰도록 하겠습니다. 정말 정말 잘 쓰고 있습니다😊 감사합니다!!!,4
11,"결제 수단에 현장 결제 아예 없애버렸네요,. 코로나 때문에 비대면 권장하는건 알겠지만 이제 마스크 착용 필수화도 사라지는 추세인데 왜 없앤건지... +배민1에만 제한된 거였군요ㅠ 예전부터 그랬는지 모르겠는데 암튼 배민1은 현장 결제가 안돼서 조금 아쉽네요.. 그래도 배달 어플 중에 가장 잘 사용하고 있습니다",4
12,"지역에 따른 배달팁 가격이 거리에 따라서 다른 건 이해를 하는데, 그 책정방법에 불만이 있습니다. 어떤 집은 배달팁 자체에서 위치에 따라 자동으로 가격을 매겨주는데, 어떤 집은 메뉴판에 여러 동네를 기입해 놓고 고객이 고르는 방식으로 운영하고 있습니다. 이 부분을 좀 통일해 줬으면 합니다. 철저히 둘중 하나의 방법으로 모두 통일이 되어 있었다면 불만 자체를 갖지 않았을 겁니다. 근데 어떤 집은 고객이 신경써야만 하고, 어떤 집은 그냥 팁에 매겨진 가격대로만 하면 되는 방식이니 상당히 헷갈립니다. 고객입장에서 메뉴판에 있는 음식을 중심으로 보는거지, 집 위치가 가게에서 부터 얼마나 차이 나는지를 신경쓰지 않습니다. 가뜩이나 배달료도 올랐는데 거기에 추가금액 까지 생기는 걸 보면 뭔가 더럽게 손해보는 거 같고 불합리하게 느껴집니다. 메뉴판에서 고르는 거 자체가 이를 주목시킵니다. 점주들도 욕먹을 각오하고 깜빡한 고객에게 전화를 해야하니 무섭고 불편하실 겁니다. 좀 개선해 줬으면 합니다.",3
13,이번업데이트 좋아요!(다른리뷰자들 평균 리뷰랑 보는거) 그래서 또 개선되면 좋겠다싶은거 적어요. 검색했을때도 카테고리가 나오면 좋겠어요. 만약 치즈를 검색하면 햄버거에도 치즈메뉴가 있고 피자나 치킨 떡볶이등등에도 치즈가 있잖아요. 검색도 분류되서 보면 좋겠어요. 찜도 카테고리별로 찜을할수있거나 아니면 지금 찜목록을 수정할때 위아래 순서 변경이라도 할 수 있음 좋겠어요.(지금 저는 찜목록했다 안했다하면서 순서 바뀌니까 그걸로 개인적으로 목록정리중),5
14,"오랜만에 배달이나 시킬까하고 첫화면에 보이는 쿠폰 광고 받겠다고 온몸 비틀다가 안된다는거 보고 화딱지나서 앱 지웁니다. 받으려고 했던건 치킨플러스/호치킨 브랜드관 첫주문 5000원 할인 쿠폰이었구요. 브랜드관에 5000원 첫주문 쿠폰은 없는데 광고에는 떡하니 있고, 그 와중에 옆에 다운로드 버튼마냥 박아둔 디자인때문에 클릭한 스무번은 속아서 한것같네요. 가맹점에 전화해서 따지자니 가맹점이 무슨 문제겠나요. 본사에서 업데이트도 없이 광고효과만 따박따박 빨아대고 있는게 문제죠. 있는 정 없는 정 다떨어졌습니다. 옆에 요기요 보니까 별점 높더라구요. 문어발사업 하는것들은 다 근본이 없다는게 맞는말인것같습니다. 평생 폰트팔이나 하면서 사시는게 좋을 것 같아요. 괜히 광고해서 남 민폐주지말고. 딱 나와있네요. ""앱에 사기성 광고가 포함되어 있나요?"" 이정도면 예 맞죠??",1
15,노트20울트라 사용중인데요 배민 알림이오면 폰화면 전체가 켜집니다. 제폰이 간편알림 설정해놔서 다른앱들은 알림와도 aod화면에서 간략히 한줄로 알림뜨는데요 유독 배민만 광고등의 알림시 폰화면 전체가 켜져버립니다. 개선해주실수없을까요?,3
16,"완벽한 서비스는 없으니 비싼 수수료, 배민1의 노쓸모 늦은 배달, 주소확인 UI 이런 것들은 다 둘째치고 상담전화 하려고 할때 통화량 많으면 바로 끊어지는 시스템은 도대체 무슨 의도인가요? 조금이라도 대기량 줄이려는 건가요? 대기하는 것도 아니고 연결될때까지 계속 다시 걸어야하다니. 이후에 상담항목 눌러서 배민1상담 연결까지 도달해도 통화량 많다고 한참대기하다가 나중에 다시 걸어달라고 끊킴. 상담자체가 너무 어려워요. 피드백들좀 보시고 직원 좀 늘리든지 여러 가지 개선 좀 했으면 좋겠습니다....ㄴ",1
17,"잘쓰고있습니다만 궁금한게 있어 리뷰남깁니다. 더하기쿠폰 쓰고싶은데 추천메뉴 배너 자체가 없어서요. 몇달 전에는 있었던거 같은데 없어진 이유를 모르겠습니다. 여러 주소 확인해본 결과, 외진 곳에는 잘안뜨는거 같은데 이유가 뭔가요?... 그리고 또 하나, 정렬에서 최신순으로 보고싶은데 최신순 넣을 계획은 없는건가요?",5
18,최근에 배민 혹은 갤럭시쪽 업데이트에서 문제가 있는것 같습니다. 밑에 다른 리뷰들 보니 저와 비슷한 현상을 겪고 계신분들이 있네요. *갤노트10+사용중 *로그인시 '일시적으로 연결이 불안정합니다' 라는 메시지 출력후 로그인 불능 *어플작동시 인트로 화면에서 넘어가지 않음. (무한로딩) *가게터치 혹은 장바구니의메뉴 주문버튼 터치시 로그인때와 동일한 문제 발생 *설치 삭제 후 재설치에도 동일한 문제 반복 *태블릿(갤탭7)으로 테스트시 정상작동함. 원인이 뭔지 모르겠는데 최근 한 일주일? 동안 계속 이러네요.,1
19,"한창 장바구니에 메뉴 고르던중에 영업시간이 종료되는 경우도 있어 아쉬워요. 영업 마감시간이 임박했으면 그런 점이 강조돼서 보여졌으면 좋겠어요. 현재는 가게정보에 굳이 들어가서 봐야지만 그 게 확인되는데, 다 고르고나서 장바구니에 들어가서 주문넣으려고 할때 그제서야 영업시간이 아니라고 뜨니까 불편했던 적이 한두 번이 아니에요 - 그리고 배달앱으로만 영업하는 식당들이 위생 면에서 미디어에서 이슈가 여러 번 되던데, 그만큼 위생 면에서 믿고 먹을수있는 식당인지를 세스코멤버스 말고도 조리과정에 대한 위생 면이 검증되는 필터링도 있었으면 좋겠어요 msg가 얼마나 들어가는지, 전 재료가 어떤지 같은부분도 투명하게 알수있게되면 더 좋고요 - 그리고 주문했던 식당에서 리뷰 볼때 주문자본인이 남겼던 리뷰를 다시 쉽게 골라볼수있게 개선되면 좋겠네요 어떤메뉴에 어떤맛조절에 어떤옵션으로 주문했었는지 등을 다시볼수 있 - 위와 같은 면들이 개선된다면, 등록된 식당수가 많기때문에 편리하게 잘 이용할수 있",3
20,"비회원으로 주문하고 kb pay로 결제해서 ""결제가 완료되었습니다"" 라고 됐는데 (처음이라 잘 몰라서 2번 반복해서 결제) 확인차 매장에 전화하니 결제가 안됐다고, 배민에 전화를 하니 결제가 안됐다고... kb, 배민 어느쪽 실수인지... 결제를 현장 결제를 하면 아주 아주 편할텐데 왜 이렇게 복잡하고 짜증나는 결제 과정을 거치는지... 외국 호텔 예약 결제보다 복잡하네요.",1
